case_id	variant	scope	round_expectations	entries	rule_ids	engine_run
C022	bomb_zero_gain	core	1	E20,E28	R09,R12	NOT_RUN
C023	lightning_full_gain	core	1	E20,E30	R09,R12,R13	NOT_RUN
C024	Absorb	core	1	E11,E20	R07,R11,R12	NOT_RUN
C024	Reflect	core	1	E07,E11	R07,R11,R12	NOT_RUN
C025	selfbi_preserves_old_copy	core	1	E04,E08,E20	R04,R14,R17,R26	NOT_RUN
C026	dead_reflector_returns	core	1	E07,E08,E12	R04,R11,R14	NOT_RUN
C027	failed_selfbi	core	1	E01,E08	R05,R14	NOT_RUN
C028	both_selfbi_fail	core	1	E08	R14,R26	NOT_RUN
C029	failed_liq_charges	core	1	E01,E26	R15,R16	NOT_RUN
C030	failed_liq_no_shield	core	1	E11,E26	R07,R15	NOT_RUN
C031	only_repeater	core	1	E02,E12,E26	R04,R15,R26	NOT_RUN
C032	joint_liq_kills	core	1	E02,E26	R04,R15,R26	NOT_RUN
C033	Reflect	core	1	E07,E26	R10,R15	NOT_RUN
C033	Absorb	core	1	E20,E26	R10,R15	NOT_RUN
C034	compound_selfbi	core	1	E07,E16,E26	R15,R16,R18,R26	NOT_RUN
C035	lightning_is_same_move	core	1	E26,E30	R15,R16	NOT_RUN
C036	branch_not_full_identity	core	1	E16,E26	R15,R16,R18	NOT_RUN
C037	compound_selfbi	core	1	E07,E25,E26	R16,R17,R18	NOT_RUN
C038	copy_niexiang_zero_charge	core	1	E22,E25	R09,R17,R20	NOT_RUN
C039	fresh_zhang_origin	core	1	E20,E25	R12,R16,R17	NOT_RUN
C040	no_record	core	1	E25	R02,R17	NOT_RUN
C040	used	core	1	E25	R02,R17	NOT_RUN
C041	bi_preserves_three	core	1	E02	R16,R17	NOT_RUN
C042	bigbi_and_return	core	1	E06,E07,E12	R04,R11,R24	NOT_RUN
C043	dead_tian_clears	core	1	E01,E20,E24	R04,R12,R22,R26	NOT_RUN
C044	tian_reflect_selfbi	core	1	E07,E08,E24	R04,R05,R14,R22	NOT_RUN
C045	tian_blocks_bigbi	core	1	E06,E24	R22,R24	NOT_RUN
C046	second_tian	core	1	E01,E24	R09,R22	NOT_RUN
C047	shells_joint_kill	core	1	E17,E19,E20	R04,R23,R26	NOT_RUN
C048	charge_kills_xiaobei	core	1	E01,E17	R05,R23	NOT_RUN
C049	dead_charge_still_kills	core	1	E01,E17,E19	R04,R23	NOT_RUN
C050	cancelled_charge_still_kills	core	1	E01,E17,E20	R04,R12,R23	NOT_RUN
C051	XiaoBei	core	1	E17,E24	R08,R22,R23	NOT_RUN
C051	Shell	core	1	E19,E24	R08,R22,R23	NOT_RUN
C052	Absorb	core	1	E20,E21	R04,R10,R13,R20	NOT_RUN
C052	Cloud	core	1	E09,E21	R04,R10,R13,R20	NOT_RUN
C053	original_21_return	core	1	E07,E21	R06,R11,R20	NOT_RUN
C054	placement_to_redemption	sequence	3	E01,E10,E13,E27	R09,R19	NOT_RUN
C055	placement_1	core	1	E10,E11	R07,R08,R19	NOT_RUN
C055	placement_2	core	1	E02,E10	R07,R08,R19	NOT_RUN
C055	placement_3	core	1	E10,E12	R07,R08,R19	NOT_RUN
C055	placement_4	core	1	E04,E10	R07,R08,R19	NOT_RUN
C055	placement_8	core	1	E04,E10	R07,R08,R19	NOT_RUN
C056	independent_blocks	core	1	E02,E10	R05,R19	NOT_RUN
C057	BombPragon	core	1	E27	R02,R09,R19	NOT_RUN
C057	BombVolvo	core	1	E28	R02,R09,R19	NOT_RUN
C057	BombFlipVolvo	core	1	E29	R02,R09,R19	NOT_RUN
C057	FreeThree	core	1	E30	R02,R09,R19	NOT_RUN
C057	FreeRotateThree	core	1	E31	R02,R09,R19	NOT_RUN
C058	bomb_flip_volvo	core	1	E01,E20,E29	R09,R12,R18,R26	NOT_RUN
C059	free_rotate_three	core	1	E05,E31	R09,R16,R18	NOT_RUN
C060	local_choice_global_risk	core	1	E01,E16,E18,E20	R04,R12,R18,R26	NOT_RUN
C061	only_choosers	core	1	E16	R14,R18	NOT_RUN
C062	token_0	core	1	E16,E19	R09,R18	NOT_RUN
C062	token_1	core	1	E16,E19	R09,R18	NOT_RUN
C063	token_0	core	1	E01,E16,E20	R12,R18,R26	NOT_RUN
C063	token_1	core	1	E01,E16,E20	R12,R18,R26	NOT_RUN
C064	two_clears_keep_use_records	sequence	2	E01,E32	R17,R21,R25	NOT_RUN
C065	natural_reward_then_copy	sequence	7	E01,E03,E25,E32,E33	R09,R17,R20,R25	NOT_RUN
C066	recovery_exempt	core	1	E02,E26,E32	R15,R25,R26	NOT_RUN
C067	recovery_exempt	core	1	E02,E26,E32	R15,R25,R26	NOT_RUN
C068	waiting	core	1	E01,E03,E06	R25,R26	NOT_RUN
C068	ready	core	1	E01,E03,E06	R25,R26	NOT_RUN
C068	recovery	core	1	E01,E06,E32	R25,R26	NOT_RUN
C069	restart_then_liq	sequence	2	E02,E04,E26	R15,R16,R26	NOT_RUN
C070	reward_repeats_bigbi	core	1	E26,E33	R09,R15,R16,R25	NOT_RUN
C071	waiting_has_no_shield	core	1	E01,E02	R25	NOT_RUN
C072	ZhangXinWei	core	1	E25	R02,R09,R17,R25	NOT_RUN
C072	LiQiang	core	1	E26	R02,R09,R17,R25	NOT_RUN
C072	ZengYi	core	1	E32	R02,R09,R17,R25	NOT_RUN
C073	C017_sum_before_restart	property	1	E04,E12,E20	R02,R03,R04,R18	NOT_RUN
C073	C026_dead_reflector_returns	property	1	E07,E08,E12	R02,R03,R04,R18	NOT_RUN
C073	C060_local_choice_global_risk	property	1	E01,E16,E18,E20	R02,R03,R04,R18	NOT_RUN
C073	C063_token_0	property	1	E01,E16,E20	R02,R03,R04,R18	NOT_RUN
C073	C063_token_1	property	1	E01,E16,E20	R02,R03,R04,R18	NOT_RUN
C073	tokens_A0_B0	property	1	E01,E16,E20	R02,R03,R04,R18	NOT_RUN
C073	tokens_A0_B1	property	1	E01,E16,E20	R02,R03,R04,R18	NOT_RUN
C073	tokens_A1_B0	property	1	E01,E16,E20	R02,R03,R04,R18	NOT_RUN
C073	tokens_A1_B1	property	1	E01,E16,E20	R02,R03,R04,R18	NOT_RUN
C073	six_players	property	1	E02,E03,E04	R02,R03,R04,R18	NOT_RUN
C074	core_full_reset	property	1	E02,E03,E04	R01,R26,R28	NOT_RUN
C074	room_state_preserved	session	0		R01,R26,R28	NOT_RUN
C075	Charge_vs_Reflect	property	1	E01,E07	R08,R09,R10,R11,R28	NOT_RUN
C075	Bi_vs_Reflect	property	1	E02,E07	R08,R09,R10,R11,R28	NOT_RUN
C075	Def_vs_Reflect	property	1	E03,E07	R08,R09,R10,R11,R28	NOT_RUN
C075	Three_vs_Reflect	property	1	E04,E07	R08,R09,R10,R11,R28	NOT_RUN
C075	ThreeDef_vs_Reflect	property	1	E05,E07	R08,R09,R10,R11,R28	NOT_RUN
C075	BigBi_vs_Reflect	property	1	E06,E07	R08,R09,R10,R11,R28	NOT_RUN
C075	Reflect_vs_Reflect	property	1	E07	R08,R09,R10,R11,R28	NOT_RUN
C075	SelfBi_vs_Reflect	property	1	E07,E08	R08,R09,R10,R11,R28	NOT_RUN
C075	Cloud_vs_Reflect	property	1	E07,E09	R08,R09,R10,R11,R28	NOT_RUN
C075	Bomb_vs_Reflect	property	1	E07,E10	R08,R09,R10,R11,R28	NOT_RUN
C075	Xiao_vs_Reflect	property	1	E07,E11	R08,R09,R10,R11,R28	NOT_RUN
C075	Pragon_vs_Reflect	property	1	E07,E12	R08,R09,R10,R11,R28	NOT_RUN
C075	PragonDef_vs_Reflect	property	1	E07,E13	R08,R09,R10,R11,R28	NOT_RUN
C075	Volvo_vs_Reflect	property	1	E07,E14	R08,R09,R10,R11,R28	NOT_RUN
C075	VolvoDef_vs_Reflect	property	1	E07,E15	R08,R09,R10,R11,R28	NOT_RUN
C075	RotateThree_vs_Reflect_token_0	property	1	E07,E16	R08,R09,R10,R11,R28	NOT_RUN
C075	RotateThree_vs_Reflect_token_1	property	1	E07,E16	R08,R09,R10,R11,R28	NOT_RUN
C075	RotateThree_vs_Shell_token_0	property	1	E16,E19	R08,R09,R10,R11,R28	NOT_RUN
C075	RotateThree_vs_Shell_token_1	property	1	E16,E19	R08,R09,R10,R11,R28	NOT_RUN
C075	XiaoBei_vs_Reflect	property	1	E07,E17	R08,R09,R10,R11,R28	NOT_RUN
C075	FlipVolvo_vs_Reflect_token_0	property	1	E07,E18	R08,R09,R10,R11,R28	NOT_RUN
C075	FlipVolvo_vs_Reflect_token_1	property	1	E07,E18	R08,R09,R10,R11,R28	NOT_RUN
C075	FlipVolvo_vs_Shell_token_0	property	1	E18,E19	R08,R09,R10,R11,R28	NOT_RUN
C075	FlipVolvo_vs_Shell_token_1	property	1	E18,E19	R08,R09,R10,R11,R28	NOT_RUN
C075	Shell_vs_Reflect	property	1	E07,E19	R08,R09,R10,R11,R28	NOT_RUN
C075	Absorb_vs_Reflect	property	1	E07,E20	R08,R09,R10,R11,R28	NOT_RUN
C075	NieXiang_vs_Reflect	property	1	E07,E21	R08,R09,R10,R11,R28	NOT_RUN
C075	NieXiangDef_vs_Reflect	property	1	E07,E22	R08,R09,R10,R11,R28	NOT_RUN
C075	JuYan_vs_Reflect	property	1	E07,E23	R08,R09,R10,R11,R28	NOT_RUN
C075	TianLiJun_vs_Reflect	property	1	E07,E24	R08,R09,R10,R11,R28	NOT_RUN
C075	LiQiang_vs_Reflect	property	1	E07,E26	R08,R09,R10,R11,R28	NOT_RUN
C075	BombPragon_vs_Reflect	property	1	E07,E27	R08,R09,R10,R11,R28	NOT_RUN
C075	BombVolvo_vs_Reflect	property	1	E07,E28	R08,R09,R10,R11,R28	NOT_RUN
C075	BombFlipVolvo_vs_Reflect_token_0	property	1	E07,E29	R08,R09,R10,R11,R28	NOT_RUN
C075	BombFlipVolvo_vs_Reflect_token_1	property	1	E07,E29	R08,R09,R10,R11,R28	NOT_RUN
C075	BombFlipVolvo_vs_Shell_token_0	property	1	E19,E29	R08,R09,R10,R11,R28	NOT_RUN
C075	BombFlipVolvo_vs_Shell_token_1	property	1	E19,E29	R08,R09,R10,R11,R28	NOT_RUN
C075	FreeThree_vs_Reflect	property	1	E07,E30	R08,R09,R10,R11,R28	NOT_RUN
C075	FreeRotateThree_vs_Reflect_token_0	property	1	E07,E31	R08,R09,R10,R11,R28	NOT_RUN
C075	FreeRotateThree_vs_Reflect_token_1	property	1	E07,E31	R08,R09,R10,R11,R28	NOT_RUN
C075	FreeRotateThree_vs_Shell_token_0	property	1	E19,E31	R08,R09,R10,R11,R28	NOT_RUN
C075	FreeRotateThree_vs_Shell_token_1	property	1	E19,E31	R08,R09,R10,R11,R28	NOT_RUN
C075	ZengYi_vs_Reflect	property	1	E07,E32	R08,R09,R10,R11,R28	NOT_RUN
C075	ZengRewardBigBi_vs_Reflect	property	1	E07,E33	R08,R09,R10,R11,R28	NOT_RUN
C075	Xiao_enhanced_vs_Reflect	property	1	E07,E11	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_Three_vs_Reflect	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_BigBi_vs_Reflect	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_Pragon_vs_Reflect	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_Volvo_vs_Reflect	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_RotateThree_vs_Reflect_token_0	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_RotateThree_vs_Reflect_token_1	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_RotateThree_vs_Shell_token_0	property	1	E19,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_RotateThree_vs_Shell_token_1	property	1	E19,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_XiaoBei_vs_Reflect	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_FlipVolvo_vs_Reflect_token_0	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_FlipVolvo_vs_Reflect_token_1	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_FlipVolvo_vs_Shell_token_0	property	1	E19,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_FlipVolvo_vs_Shell_token_1	property	1	E19,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_Shell_vs_Reflect	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C075	ZhangXinWei_NieXiang_vs_Reflect	property	1	E07,E25	R08,R09,R10,R11,R28	NOT_RUN
C076	Pragon	property	1	E12,E13	R16,R17	NOT_RUN
C076	Bi	property	1	E02	R16,R17	NOT_RUN
C076	SelfBi	property	1	E04,E08,E20	R16,R17	NOT_RUN
C076	RotateThree	property	1	E07,E16,E26	R16,R17	NOT_RUN
C076	LiQiang	property	1	E07,E26	R16,R17	NOT_RUN
C076	Reflect	property	1	E04,E07	R16,R17	NOT_RUN
C077	three_charge_not_enough	core	1	E21	R02,R09,R20	NOT_RUN
C078	two_bigbi_extra_charge	core	1	E03,E06	R05,R20,R24	NOT_RUN
C079	natural_cloud_with_rejection	sequence	4	E01,E09	R02,R09,R13	NOT_RUN
C080	RotateThree	core	1	E16,E20	R09,R10,R14,R18	NOT_RUN
C080	FlipVolvo	core	1	E18,E20	R09,R10,R14,R18	NOT_RUN
C080	BombFlipVolvo	core	1	E20,E29	R09,R10,R14,R18	NOT_RUN
C080	FreeRotateThree	core	1	E20,E31	R09,R10,R14,R18	NOT_RUN
C081	pure_due_retry	property	1	E01,E33	R02,R25,R26	NOT_RUN
C081	session_request_replay	session	0		R02,R25,R26	NOT_RUN
C082	grant_then_restart	core	1	E01,E03,E06	R04,R20,R25,R26	NOT_RUN
